species,location,time,description,sex,feather_color,time_parsed,year,month,hour,description_length,color_count
American Robin,New York City,15-06-2023 08:30,A medium-sized bird with an orange breast and grayish back,Unknown,Brown,2023-06-15 08:30:00,2023,6,8,58,1
Bald Eagle,Seattle,02-07-2023 12:45,A large bird of prey with a white head and brown body,Male,Brown and White,2023-07-02 12:45:00,2023,7,12,53,2
Northern Cardinal,Miami,29-06-2023 16:15,A small red bird with a crest on its head,Female,Red,2023-06-29 16:15:00,2023,6,16,41,1
Blue Jay,Chicago,05-07-2023 10:00,A medium-sized bird with blue feathers and a black crest,Unknown,Blue and Black,2023-07-05 10:00:00,2023,7,10,56,2
Ruby-throated Hummingbird,Los Angeles,20-06-2023 09:00,A tiny bird with green feathers and a ruby-red throat,Male,Green and Red,2023-06-20 09:00:00,2023,6,9,53,2
Mallard Duck,London,25-06-2023 14:30,A medium-sized duck with a green head and brown body,Female,Brown and Green,2023-06-25 14:30:00,2023,6,14,52,2
Peregrine Falcon,Sydney,03-07-2023 11:20,A swift bird of prey with dark wings and a hooked beak,Unknown,Black and White,2023-07-03 11:20:00,2023,7,11,54,2
Great Horned Owl,Toronto,19-06-2023 20:00,A large nocturnal bird with prominent ear tufts,Unknown,Brown and Gray,2023-06-19 20:00:00,2023,6,20,47,2
European Starling,Paris,26-06-2023 16:45,A small black bird with iridescent feathers and a yellow beak,Unknown,Black,2023-06-26 16:45:00,2023,6,16,61,1
Red-tailed Hawk,San Francisco,01-07-2023 13:10,A large bird of prey with a reddish-brown tail,Male,Brown and Red,2023-07-01 13:10:00,2023,7,13,46,2
Mourning Dove,Mexico City,30-06-2023 07:50,A small dove with a grayish-brown body and a distinctive cooing call,Unknown,Gray and Brown,2023-06-30 07:50:00,2023,6,7,68,2
Anna's Hummingbird,Vancouver,18-06-2023 10:30,A small bird with iridescent green feathers and a pink throat patch,Male,Green and Pink,2023-06-18 10:30:00,2023,6,10,67,2
White-throated Sparrow,Rome,28-06-2023 09:15,A medium-sized sparrow with a white throat and black-and-white striped head,Unknown,Brown and White,2023-06-28 09:15:00,2023,6,9,75,2
Snowy Owl,Moscow,04-07-2023 14:55,A large white owl with yellow eyes,Unknown,White,2023-07-04 14:55:00,2023,7,14,34,1
Eurasian Jay,Tokyo,23-06-2023 12:20,A medium-sized bird with blue and white feathers and a black crest,Unknown,Blue and White,2023-06-23 12:20:00,2023,6,12,66,2
Wood Duck,Seattle,15-06-2023 07:40,A medium-sized duck with a colorful plumage and a distinctive crested head,Male,Various colors,2023-06-15 07:40:00,2023,6,7,74,1
Northern Mockingbird,New York City,02-07-2023 16:50,A medium-sized bird with gray feathers and a long tail,Unknown,Gray,2023-07-02 16:50:00,2023,7,16,54,1
Barn Owl,Miami,29-06-2023 21:30,A medium-sized owl with a heart-shaped face and pale feathers,Unknown,White,2023-06-29 21:30:00,2023,6,21,61,1
American Goldfinch,Chicago,06-07-2023 08:10,A small yellow bird with black wings and a conical bill,Unknown,Yellow and Black,2023-07-06 08:10:00,2023,7,8,55,2
Belted Kingfisher,Los Angeles,21-06-2023 11:40,"A medium-sized bird with a shaggy crest and a long, pointed bill",Female,Blue and White,2023-06-21 11:40:00,2023,6,11,64,2
Hooded Crow,London,26-06-2023 15:20,A medium-sized crow with black plumage and a distinctive gray hood,Unknown,Black and Gray,2023-06-26 15:20:00,2023,6,15,66,2
Purple Martin,New York City,03-07-2023 09:05,A small bird with a dark blue-black body and a forked tail,Male,Dark Blue and Black,2023-07-03 09:05:00,2023,7,9,58,2
Rock Pigeon,Seattle,17-06-2023 14:15,A medium-sized pigeon with a gray body and iridescent neck feathers,Unknown,Gray,2023-06-17 14:15:00,2023,6,14,67,1
Canada Goose,Miami,30-06-2023 18:25,"A large waterfowl with a black head and neck, and a brown body",Unknown,Black and Brown,2023-06-30 18:25:00,2023,6,18,62,2
Black-capped Chickadee,Chicago,07-07-2023 10:20,A small bird with a black cap and white cheeks,Unknown,Black and White,2023-07-07 10:20:00,2023,7,10,46,2
Eurasian Collared-Dove,Los Angeles,22-06-2023 16:30,A medium-sized dove with a pale gray body and a black crescent-shaped collar,Unknown,Gray,2023-06-22 16:30:00,2023,6,16,76,1
House Sparrow,London,27-06-2023 13:45,A small brown bird with a gray crown and black throat patch,Unknown,Brown and Gray,2023-06-27 13:45:00,2023,6,13,59,2
American Crow,New York City,04-07-2023 11:00,A large black bird with a sturdy beak,Unknown,Black,2023-07-04 11:00:00,2023,7,11,37,1
Rose-breasted Grosbeak,Seattle,16-06-2023 08:50,A medium-sized bird with a black and white body and a rose-colored breast,Male,Black and White,2023-06-16 08:50:00,2023,6,8,73,2
Eurasian Magpie,Miami,01-07-2023 16:15,A medium-sized bird with black and white plumage and a long tail,Unknown,Black and White,2023-07-01 16:15:00,2023,7,16,64,2
Black-chinned Hummingbird,Chicago,25-06-2023 09:30,A small hummingbird with green feathers and a black throat,Male,Green and Black,2023-06-25 09:30:00,2023,6,9,58,2
Common Raven,Los Angeles,20-06-2023 12:10,A large black bird with a thick bill and a croaking call,Unknown,Black,2023-06-20 12:10:00,2023,6,12,56,1
House Finch,London,28-06-2023 14:40,A small finch with a red or orange head and a brown-streaked body,Male,Red and Brown,2023-06-28 14:40:00,2023,6,14,65,2
Red-winged Blackbird,New York City,05-07-2023 07:20,A medium-sized blackbird with red and yellow shoulder patches,Male,Black and Red,2023-07-05 07:20:00,2023,7,7,61,2
Northern Gannet,Seattle,19-06-2023 11:55,A large seabird with a white body and a yellowish head,Male,White and Yellow,2023-06-19 11:55:00,2023,6,11,54,2
European Goldfinch,Miami,02-07-2023 17:30,A small yellow bird with black and white wings,Unknown,Yellow and Black,2023-07-02 17:30:00,2023,7,17,46,2
Hairy Woodpecker,Chicago,26-06-2023 10:40,A medium-sized woodpecker with black and white feathers,Male,Black and White,2023-06-26 10:40:00,2023,6,10,55,2
Brown-headed Cowbird,Los Angeles,21-06-2023 14:20,A blackbird with a dark brown head and a stocky build,Unknown,Black and Brown,2023-06-21 14:20:00,2023,6,14,53,2
Cedar Waxwing,London,29-06-2023 12:15,A medium-sized bird with a crested head and a yellow-tipped tail,Unknown,Brown and Yellow,2023-06-29 12:15:00,2023,6,12,64,2
Sandhill Crane,New York City,06-07-2023 09:55,"A tall, grayish crane with a red crown on its head",Unknown,Gray and Red,2023-07-06 09:55:00,2023,7,9,50,2
Great Blue Heron,Seattle,17-06-2023 15:30,A large wading bird with a blue-gray body and long legs,Unknown,Blue and Gray,2023-06-17 15:30:00,2023,6,15,55,2
Eurasian Skylark,Miami,30-06-2023 10:45,A small songbird with a brown-streaked body and a crest,Unknown,Brown,2023-06-30 10:45:00,2023,6,10,55,1
Yellow Warbler,Chicago,07-07-2023 11:20,A small songbird with bright yellow feathers and a melodious song,Male,Yellow,2023-07-07 11:20:00,2023,7,11,65,1
Ring-billed Gull,Los Angeles,22-06-2023 13:25,"A medium-sized gull with a white body, gray wings, and a distinctive black ring on its bill",Unknown,White and Gray,2023-06-22 13:25:00,2023,6,13,91,2
Tree Swallow,London,27-06-2023 10:10,A small bird with iridescent blue-green feathers and a forked tail,Unknown,Blue and Green,2023-06-27 10:10:00,2023,6,10,66,2
Baltimore Oriole,New York City,04-07-2023 08:40,A medium-sized bird with bright orange plumage and black wings,Male,Orange and Black,2023-07-04 08:40:00,2023,7,8,62,2
White-crowned Sparrow,Seattle,18-06-2023 07:15,A medium-sized sparrow with a distinctive white-striped crown,Unknown,Brown and White,2023-06-18 07:15:00,2023,6,7,61,2
Ruddy Duck,Miami,01-07-2023 15:50,A small duck with a rusty-red body and a blue bill,Male,Rusty-red and Blue,2023-07-01 15:50:00,2023,7,15,50,2
Caspian Tern,Chicago,24-06-2023 09:30,"A large bird with a white body, gray wings, and a bright red bill",Unknown,White and Gray,2023-06-24 09:30:00,2023,6,9,65,2
Northern Shoveler,Los Angeles,19-06-2023 13:40,A medium-sized duck with a large spoon-shaped bill,Male,Brown,2023-06-19 13:40:00,2023,6,13,50,1
Common Myna,London,26-06-2023 16:00,"A medium-sized bird with dark plumage, a yellow bill, and yellow eye patches",Unknown,Black and Yellow,2023-06-26 16:00:00,2023,6,16,76,2
Eurasian Spoonbill,Paris,07-07-2023 14:20,A large wading bird with a distinctive spoon-shaped bill,Unknown,White,2023-07-07 14:20:00,2023,7,14,56,1
Barred Owl,San Francisco,25-06-2023 18:10,A medium-sized owl with brown and white barred plumage,Unknown,Brown and White,2023-06-25 18:10:00,2023,6,18,54,2
Crested Caracara,Mexico City,02-07-2023 09:45,A bird of prey with a black crest and a distinctive face pattern,Unknown,Black and Orange,2023-07-02 09:45:00,2023,7,9,64,2
Cinnamon Teal,Vancouver,19-06-2023 11:30,A small duck with a cinnamon-colored body and a blue bill,Male,Cinnamon and Blue,2023-06-19 11:30:00,2023,6,11,57,2
Gray Catbird,Rome,27-06-2023 16:55,A medium-sized bird with a gray body and a distinctive mewing call,Unknown,Gray,2023-06-27 16:55:00,2023,6,16,66,1
Lilac-breasted Roller,Cairo,04-07-2023 12:15,A colorful bird with lilac plumage and a long tail,Male,Lilac and Blue,2023-07-04 12:15:00,2023,7,12,50,2
Black Skimmer,Sydney,20-06-2023 14:40,"A bird with a black upper body, white underparts, and a large bill with a red base",Unknown,Black and White,2023-06-20 14:40:00,2023,6,14,82,2
Pied Kingfisher,Tokyo,29-06-2023 16:10,A small bird with black and white plumage and a shaggy crest,Unknown,Black and White,2023-06-29 16:10:00,2023,6,16,60,2
European Bee-eater,Athens,05-07-2023 08:25,"A colorful bird with a slender body, a long curved bill, and a greenish-blue crown",Male,Various colors,2023-07-05 08:25:00,2023,7,8,82,1
Himalayan Monal,Delhi,22-06-2023 10:30,"A large, brilliantly colored bird with a metallic green head and a vibrant array of plumage",Male,Various colors,2023-06-22 10:30:00,2023,6,10,91,1
Greater Flamingo,Mumbai,30-06-2023 16:50,"A tall wading bird with pink feathers, a long neck, and a downward-curving bill",Unknown,Pink,2023-06-30 16:50:00,2023,6,16,79,1
Harlequin Duck,Reykjavik,03-07-2023 13:45,"A small duck with a colorful plumage featuring bold patches of blue, white, and chestnut",Male,Various colors,2023-07-03 13:45:00,2023,7,13,88,1
Swainson's Hawk,Buenos Aires,26-06-2023 11:20,"A large bird of prey with a brown body, a white throat, and a distinctive ""V"" shape underwing pattern,Unknown,Brown and White",Unknown,Brown and White,2023-06-26 11:20:00,2023,6,11,125,2
Rufous Hummingbird,Vancouver,18-06-2023 09:15,A small hummingbird with a reddish-brown body and a bright orange throat,Male,Reddish-brown and Orange,2023-06-18 09:15:00,2023,6,9,72,2
Hoopoe,London,25-06-2023 14:50,"A medium-sized bird with a distinctive crest, black and white wings, and a pinkish-brown body",Unknown,Pinkish-brown and Black,2023-06-25 14:50:00,2023,6,14,93,2
Snowy Plover,San Francisco,01-07-2023 17:30,"A small shorebird with a white body, gray-brown upperparts, and a black bill and legs",Unknown,White and Gray-brown,2023-07-01 17:30:00,2023,7,17,85,2
Greater Roadrunner,Los Angeles,21-06-2023 09:40,"A fast-running bird with a long tail, mottled brown plumage, and a distinctive crest",Unknown,Brown,2023-06-21 09:40:00,2023,6,9,84,1
Saddle-billed Stork,Nairobi,28-06-2023 15:20,"A large wading bird with a black-and-white body, a yellow saddle-shaped bill, and a red facial patch",Unknown,"Black, White, Yellow, and Red",2023-06-28 15:20:00,2023,6,15,100,4
Golden-crowned Kinglet,Seattle,15-06-2023 08:20,"A small songbird with olive-green upperparts, yellow underparts, and a golden crown on its head",Unknown,Green and Yellow,2023-06-15 08:20:00,2023,6,8,95,2
Southern Cassowary,Sydney,02-07-2023 13:15,A large flightless bird with a casque on its head and dark brown plumage,Unknown,Brown,2023-07-02 13:15:00,2023,7,13,72,1
Keel-billed Toucan,Belize City,29-06-2023 11:40,"A colorful bird with a large bill featuring hues of green, blue, yellow, and orange",Unknown,Various colors,2023-06-29 11:40:00,2023,6,11,83,1
Long-tailed Tit,Edinburgh,24-06-2023 10:50,"A small songbird with a long tail, a black-and-white head, and pinkish underparts",Unknown,"Black, White, and Pink",2023-06-24 10:50:00,2023,6,10,81,3
Toco Toucan,Rio de Janeiro,05-07-2023 14:25,A large bird with a massive colorful bill and black plumage with white underparts,Unknown,Black and White,2023-07-05 14:25:00,2023,7,14,81,2
Red-crested Cardinal,Buenos Aires,20-06-2023 16:30,"A medium-sized bird with a red crest, a black face, and a gray body",Unknown,"Red, Black, and Gray",2023-06-20 16:30:00,2023,6,16,67,3
Red-billed Leiothrix,Tokyo,26-06-2023 12:40,"A small bird with bright red bill, red plumage on the head and wings, and a yellow body",Unknown,Red and Yellow,2023-06-26 12:40:00,2023,6,12,87,2
Yellow-crowned Night-Heron,New Orleans,03-07-2023 18:15,"A medium-sized heron with a black-and-white head, a gray body, and a distinctive yellow crown",Unknown,"Black, White, and Gray",2023-07-03 18:15:00,2023,7,18,93,3
Orange-breasted Sunbird,Cape Town,21-06-2023 09:55,A small bird with a bright orange breast and a metallic green head and back,Male,Orange and Green,2023-06-21 09:55:00,2023,6,9,75,2
Crested Tit,Oslo,27-06-2023 11:20,"A small bird with a black-and-white head, a crested crown, and grayish-brown upperparts",Unknown,"Black, White, and Gray",2023-06-27 11:20:00,2023,6,11,87,3
Crowned Crane,Nairobi,04-07-2023 16:40,"A tall bird with a golden crown of stiff feathers, gray body plumage, and a red throat pouch",Unknown,"Golden, Gray, and Red",2023-07-04 16:40:00,2023,7,16,92,3
Scarlet Tanager,"Washington,D.C.",22-06-2023 08:30,"A medium-sized bird with black wings, a black tail, and bright scarlet plumage",Male,Scarlet and Black,2023-06-22 08:30:00,2023,6,8,78,2
Black-throated Blue Warbler,Toronto,29-06-2023 10:10,"A small warbler with a black throat and upperparts, and a blue-gray belly and sides",Male,Black and Blue-gray,2023-06-29 10:10:00,2023,6,10,83,2
Rhinoceros Hornbill,Kuala Lumpur,06-07-2023 12:45,A large bird with a casque resembling a rhinoceros horn and black-and-white plumage,Unknown,Black and White,2023-07-06 12:45:00,2023,7,12,83,2
